Enunciado	Alternativa A	Alternativa B	Alternativa C	Alternativa D	Alternativa E
Qual candidato você considera mais preparado para governar?	Candidato A	Candidato B	Candidato C	Candidato D	Nenhum dos anteriores
Qual a sua principal preocupação em relação à próxima eleição?	Economia	Saúde	Segurança	Educação	Corrupção
Você confia nas pesquisas eleitorais divulgadas?	Sim, totalmente	Em parte	Não muito	Não, de forma alguma	Não sei / Prefiro não opinar
Qual meio de comunicação mais influencia sua decisão de voto?	Televisão	Redes sociais	Rádio	Jornais/Revistas	Conversas com amigos/familiares
Qual a importância de debater os planos de governo dos candidatos?	Muito importante	Importante	Pouco importante	Não é importante	Não sei / Prefiro não opinar
Você pretende votar no mesmo partido das últimas eleições?	Sim	Não	Ainda não decidi	Não votei nas últimas eleições	Não se aplica
Qual tema você gostaria que fosse mais abordado nos debates?	Sustentabilidade	Reforma Tributária	Geração de Empregos	Combate à Pobreza	Política Externa
Você já decidiu seu voto para a próxima eleição?	Sim, com certeza	Tenho uma preferência	Ainda estou indeciso	Não me interesso	Não se aplica
Qual a probabilidade de você mudar seu voto antes da eleição?	Muito provável	Provável	Pouco provável	Improvável	Já decidi e não mudarei
Em sua opinião, qual é o principal desafio do próximo governante?	Estabilidade econômica	Combate à desigualdade	Melhorar a saúde pública	Reduzir a criminalidade	Fortalecer a democracia
